O*NET-SOC Code	Task	Category	Original Task ID	Original Task	Write-in Total	Date	Source
11-2011.00	Create media notices about events.	New	n/a		5	06/2010	Incumbent
11-2031.00	Design and edit promotional publications, such as brochures.	New	n/a		9	06/2009	Incumbent
11-2031.00	Develop, implement, and maintain crisis communication plans.	New	n/a		7	06/2009	Incumbent
11-3051.02	Conduct employee safety training.	New	n/a		9	07/2011	Incumbent
11-3051.04	Manage safety programs at power generation facilities.	New	n/a		5	07/2012	Incumbent
11-3061.00	Develop cost reduction strategies and savings plans.	New	n/a		10	06/2009	Occupational Expert
11-3071.02	Monitor inventory levels of products or materials in warehouses.	New	n/a		7	06/2008	Occupational Expert
11-9032.00	Create school improvement plans by using student performance data.	New	n/a		5	06/2010	Incumbent
11-9033.00	Design or use assessments to monitor student learning outcomes.	New	n/a		8	06/2010	Incumbent
11-9033.00	Prepare reports on academic or institutional data.	New	n/a		6	06/2010	Incumbent
11-9061.00	Deliver death certificates to medical facilities or offices to obtain signatures from legally authorized persons.	New	n/a		6	07/2014	Incumbent
11-9071.00	Monitor the performance of the gaming floor, relocating games and installing new games as necessary.	New	n/a		6	07/2014	Incumbent
11-9131.00	Monitor employees' work schedules and attendance for payroll purposes.	New	n/a		9	07/2005	Incumbent
11-9199.11	Identify and apply for project funding.	New	n/a		8	07/2013	Occupational Expert
13-1011.00	Send samples of clients' work and other promotional material to potential employers to obtain auditions, sponsorships and endorsement deals.	New	n/a		9	06/2007	Incumbent
13-1031.01	Attend mediations or trials.	New	n/a		5	06/2010	Incumbent
13-1041.02	Collect money and fees for licenses.	New	n/a		6	12/2006	Incumbent
13-1041.03	Interview persons involved in equal opportunity complaints to verify case information.	Revision	10868	Meet with persons involved in equal opportunity complaints in order to verify case information, and to arbitrate and settle disputes.	5	12/2006	Incumbent
13-1041.03	Meet with persons involved in equal opportunity complaints to arbitrate and settle disputes.	Revision	10868	Meet with persons involved in equal opportunity complaints in order to verify case information, and to arbitrate and settle disputes.	5	12/2006	Incumbent
13-1041.03	Prepare reports related to investigations of equal opportunity complaints.	New	n/a		7	12/2006	Incumbent
13-1041.04	Inspect government property, such as construction sites and public housing, to ensure compliance with contract specifications and legal requirements.	New	n/a		6	06/2007	Incumbent
13-1051.00	Collect historical cost data to estimate costs for current or future products.	New	n/a		5	06/2008	Occupational Expert
13-1071.00	Administer employee benefit plans.	New	n/a		9	07/2012	Incumbent
13-1081.00	Perform managerial duties such as hiring and training employees, and overseeing facility needs/requirements.	New	n/a		10	06/2006	Incumbent
13-2011.01	Prepare adjusting journal entries.	New	n/a		5	06/2009	Incumbent
13-2011.01	Review accounts for discrepancies and reconcile differences.	New	n/a		6	06/2009	Incumbent
13-2021.01	Assist in the training of new staff.	New	n/a		6	07/2011	Incumbent
13-2021.01	Explain real and personal property taxes to property owners.	New	n/a		5	07/2011	Incumbent
13-2041.00	Contact customers regarding delinquent accounts to collect payments.	New	n/a		8	06/2009	Occupational Expert
13-2053.00	Examine documents to determine degree of risk from factors such as applicant health, financial standing and value, and condition of property.	Revision	1260	Examine documents to determine degree of risk from such factors as applicant financial standing and value and condition of property.	7	06/2009	Occupational Expert
13-2071.01	Counsel students on financial aid issues (e.g., providing entrance and exit loan counseling) and awards available.	New	n/a		12	12/2005	Incumbent
13-2082.00	Schedule appointments with clients.	New	n/a		5	07/2013	Occupational Expert
15-1121.00	Troubleshoot program and system malfunctions to restore normal functioning.	New	n/a		8	06/2009	Incumbent
15-1131.00	Develop websites.	New	n/a		6	06/2009	Incumbent
15-1131.00	Train users on the use and function of computer programs.	New	n/a		7	06/2009	Incumbent
15-2011.00	Negotiate terms and conditions of reinsurance with other companies.	New	n/a		4	06/2009	Occupational Expert
15-2031.00	Educate staff in the use of mathematical models.	New	n/a		7	07/2011	Occupational Expert
15-2031.00	Present the results of mathematical modeling and data analysis to management or other end users.	New	n/a		4	07/2011	Occupational Expert
15-2041.00	Determine whether statistical methods are appropriate based on user needs or on research questions of interest.	Revision	8962	Develop an understanding of fields to which statistical methods are to be applied to determine whether methods and results are appropriate.	5	07/2012	Occupational Expert
15-2041.00	Prepare and structure data warehouses for storing data.	New	n/a		6	07/2012	Occupational Expert
17-1022.00	Testify as an expert witness in court cases on land survey issues, such as property boundaries.	New	n/a		6	06/2008	Occupational Expert
17-2041.00	Monitor and analyze data from processes and experiments.	New	n/a		5	06/2009	Occupational Expert
17-2081.01	Evaluate the operation and maintenance of water/wastewater systems to identify ways to improve their efficiency.	New	n/a		5	07/2012	Occupational Expert
17-2111.02	Direct the purchase, modification, installation, testing, maintenance, and operation of fire prevention and protection systems.	Revision	8987	Direct the purchase, modification, installation, maintenance, and operation of fire protection systems.	6	07/2013	Occupational Expert
17-2111.03	Develop industry standards of product safety.	New	n/a		4	06/2007	Occupational Expert
17-2111.03	Evaluate product designs for safety.	New	n/a		7	06/2007	Occupational Expert
17-2111.03	Provide expert testimony in litigation cases.	New	n/a		4	06/2007	Occupational Expert
17-2121.02	Conduct stability analyses of ships.	New	n/a		10	06/2006	Incumbent
17-2131.00	Present technical information at conferences.	New	n/a		5	07/2012	Occupational Expert
17-2199.10	Analyze meteorological data.	New	n/a		7	07/2012	Incumbent
17-2199.10	Design electrical interconnections.	New	n/a		5	07/2012	Incumbent
17-2199.10	Design wind turbine components.	New	n/a		7	07/2012	Incumbent
17-2199.10	Estimate energy production by analyzing wind data.	New	n/a		15	07/2012	Incumbent
17-3013.00	Produce three-dimensional models using computer-aided design (CAD) software.	New	n/a		6	06/2009	Incumbent
17-3021.00	Design electrical and mechanical systems used for avionic instrumentation applications.	New	n/a		5	12/2006	Incumbent
17-3022.00	Develop project budgets by estimating the cost of project activities.	New	n/a		5	06/2009	Incumbent
17-3022.00	Negotiate prices for new contracts or for modifications to existing contracts with contractors.	New	n/a		9	06/2009	Incumbent
17-3026.00	Create engineering drawings, schematics or blueprints.	New	n/a		5	07/2014	Incumbent
17-3031.02	Prepare cost estimates for mapping projects.	New	n/a		6	07/2014	Incumbent
19-1011.00	Write-up or orally communicate research findings to the scientific community, producers, and the public.	Revision	15211	Communicate research findings to the scientific community, producers, and the public.	12	06/2008	Occupational Expert
19-1013.00	Conduct experiments to investigate the underlying mechanisms involved in plant growth and plant responses to the environment.	New	n/a		8	07/2014	Occupational Expert
19-1020.01	Write grant proposals to obtain funding for biological research.	New	n/a		5	06/2010	Incumbent
19-1021.00	Write grant proposals to obtain funding for research.	New	n/a		8	07/2012	Occupational Expert
19-1031.01	Develop soil maps.	New	n/a		6	07/2011	Occupational Expert
19-1031.02	Coordinate with federal land managers and other agencies and organizations to manage and protect rangelands.	New	n/a		15	12/2005	Incumbent
19-1031.02	Regulate grazing (e.g., by issuing permits and checking for compliance with standards), and help ranchers plan and organize grazing systems in order to manage, improve and protect rangelands and maximize their use.	Revision	7496	Regulate grazing, and help ranchers plan and organize grazing systems in order to manage, improve and protect rangelands and maximize their use.	20	12/2005	Incumbent
19-1031.03	Develop environmental educational programs and curricula for schools.	New	n/a		5	12/2004	Incumbent
19-1031.03	Plan and organize public events at the park.	New	n/a		6	12/2004	Incumbent
19-1042.00	Write applications for research grants.	New	n/a		12	07/2012	Incumbent
19-2011.00	Conduct question and answer presentations on astronomy topics with public audiences.	New	n/a		7	07/2011	Occupational Expert
19-2011.00	Mentor graduate students and junior colleagues.	New	n/a		7	07/2011	Occupational Expert
19-2011.00	Supervise students' research on celestial and astronomical phenomena.	New	n/a		4	07/2011	Occupational Expert
19-2012.00	Write research proposals to receive funding.	New	n/a		8	12/2006	Incumbent
19-2021.00	Develop and deliver training on weather topics.	New	n/a		10	07/2012	Occupational Expert
19-2021.00	Develop computer programs to collect meteorological data or to present meteorological information.	New	n/a		6	07/2012	Occupational Expert
19-2021.00	Speak to the public to discuss weather topics or answer questions.	New	n/a		8	07/2012	Occupational Expert
19-2032.00	Write research papers for publication in scientific journals.	New	n/a		18	07/2012	Occupational Expert
